hotspot_id,latitude,longitude,h3_cell,timestamp,year,month,day_of_year,day_of_week,is_night,month_sin,month_cos,bright_ti4,bright_ti5,frp,confidence_encoded,scan,track,log_frp,thermal_difference,observation_count_7d,observation_count_30d,observation_count_90d,active_days_7d,active_days_30d,active_days_90d,mean_frp_7d,mean_frp_30d,mean_frp_90d,median_frp_30d,std_frp_30d,max_frp_30d,max_frp_90d,days_since_first_seen,days_since_previous_detection,has_history_7d,has_history_30d,has_history_90d,frp_deviation,frp_ratio_to_baseline,frp_z_score,industrial_context_score,mining_context_score,industrial_polygon_overlap,mining_polygon_overlap,forest_polygon_overlap,agriculture_polygon_overlap,nearest_facility_type_encoded,type,daynight,target_class,label_source,label_confidence,bright_ti4_to_ti5_ratio,frp_per_pixel,thermal_anomaly_strength,forest_AND_high_frp,industrial_AND_active,frp_growth_rate,frp_consistency,sample_weight
EVENT_00000164,23.80366,86.3302,873ca9d9affffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,336.35,302.48,4.51,1,0.5,0.41,1.706564623164823,33.870000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1119743417350756,21.999892683450327,0.05301879991074496,0.0,0.0,0.0,0.0,0.2
EVENT_00000168,22.79693,78.81786,873d9e64dffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,329.99,292.09,2.81,1,0.47,0.4,1.3376291891386096,37.900000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,0,D,forest_fire,FIRMS_type0_weak_proxy,0.45,1.1297545238462308,14.946729006760602,0.06092463981975855,0.0,0.0,0.0,0.0,0.45
EVENT_00000183,23.68822,86.39035,873ca8261ffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,343.19,304.6,6.42,1,0.5,0.41,2.004179057179289,38.589999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1266907382577454,31.316920405266316,0.05957177471160129,0.0,0.0,0.0,0.0,0.2
EVENT_00000173,23.77932,86.34885,873ca9cb0ffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,325.92,298.47,3.35,0,0.5,0.41,1.4701758451005926,27.44999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.09196903845623,16.341383700567317,0.04396290772760146,0.0,0.0,0.0,0.0,0.2
EVENT_00000170,23.7949,86.35152,873ca9cb4ffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,329.43,303.39,2.6,0,0.5,0.41,1.2809338454620642,26.04000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.0858301160689867,12.682864961634335,0.04114914187107058,0.0,0.0,0.0,0.0,0.2
EVENT_00000171,23.77279,86.20604,873ca8366ffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,329.37,299.12,6.65,1,0.49,0.4,2.0347056478384444,30.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1011299775971852,33.928398324498346,0.048131235106157244,0.0,0.0,0.0,0.0,0.2
EVENT_00000184,23.68447,86.39091,873ca8261ffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,331.37,300.79,3.81,1,0.5,0.41,1.57069708411767,30.579999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1016656102208664,18.585275193779545,0.04837382933375435,0.0,0.0,0.0,0.0,0.2
EVENT_00000169,23.55716,87.24015,873ca9656ffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,340.2,297.54,9.36,1,0.56,0.43,2.337952236831337,42.65999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1433756767379992,38.8702704722987,0.06689246390865793,0.0,0.0,0.0,0.0,0.2
EVENT_00000178,23.70356,86.07477,873ca8304ffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,333.64,302.76,3.74,1,0.49,0.4,1.556037135706985,30.879999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1019949758819032,19.081535298289296,0.048522941469951376,0.0,0.0,0.0,0.0,0.2
EVENT_00000176,23.76606,86.39586,873ca9c86ffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,331.06,306.04,4.95,0,0.5,0.41,1.7833912195575383,25.019999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.25,0.6,False,True,False,False,0,2,D,non_industrial,FIRMS_type2+OSM_mining_context,0.8,1.081754015547791,24.146223676957675,0.039271699828485766,0.0,0.0,0.0,0.0,0.8
EVENT_00000180,23.68109,86.09567,873ca8300ffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,334.68,297.07,4.7,1,0.49,0.4,1.7404661748405046,37.610000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1266031537125825,23.979469492502588,0.05953304303991606,0.0,0.0,0.0,0.0,0.2
EVENT_00000185,23.67446,86.40243,873ca826effffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,331.17,295.86,6.06,1,0.5,0.41,1.9544450515051504,35.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.1193469846571116,29.560831410578484,0.056313094977412416,0.0,0.0,0.0,0.0,0.2
EVENT_00000181,23.80075,87.04668,873ca90c2ffffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,330.55,304.27,6.79,0,0.55,0.42,2.052840859882657,26.28000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.08637065406918,29.39381214799936,0.04139756144828845,0.0,0.0,0.0,0.0,0.2
EVENT_00000182,23.71755,86.44115,873ca9c9effffff,2022-01-01 07:40:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,330.44,300.35,4.54,1,0.51,0.41,1.7119945007591924,30.08999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,D,unknown,insufficient_evidence,0.2,1.100183116030687,21.711995638471365,0.047702087782459913,0.0,0.0,0.0,0.0,0.2
EVENT_00000268,31.08086,78.22959,873d11c21ffffff,2022-01-01 07:42:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,335.08,296.6,4.77,1,0.41,0.37,1.7526720805200082,38.47999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,0,D,forest_fire,FIRMS_type0_weak_proxy,0.45,1.1297370157459978,31.443431486938117,0.060916919863036725,0.0,0.0,0.0,0.0,0.45
EVENT_00000277,31.22533,77.83492,873d156b4ffffff,2022-01-01 07:42:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,330.45,294.15,5.67,1,0.42,0.37,1.897619859927532,36.30000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,0,D,forest_fire,FIRMS_type0_weak_proxy,0.45,1.123406421474056,36.48625169722203,0.058117194911756036,0.0,0.0,0.0,0.0,0.45
EVENT_00000283,31.34236,75.73386,873d14d35ffffff,2022-01-01 07:42:00,2022,1,1,5,0,0.4999999999999999,0.8660254037844387,330.13,289.82,4.94,1,0.5,0.41,1.7817091333745536,40.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,0,D,forest_fire,FIRMS_type0_weak_proxy,0.45,1.1390863255155397,24.097443427105237,0.06502137258646444,0.0,0.0,0.0,0.0,0.45
EVENT_00000297,27.55889,96.03532,873c5aa09ffffff,2022-01-01 18:25:00,2022,1,1,5,1,0.4999999999999999,0.8660254037844387,305.93,280.4,0.86,1,0.58,0.7,0.6205764877251099,25.53000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,N,unknown,insufficient_evidence,0.2,1.0910484982487572,2.1182213836911736,0.04354203256947112,0.0,0.0,0.0,0.0,0.2
EVENT_00000305,27.46987,95.42194,873c5a885ffffff,2022-01-01 20:06:00,2022,1,1,5,1,0.4999999999999999,0.8660254037844387,320.74,283.6,1.44,1,0.43,0.62,0.8919980393051105,37.13999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0701388888888888,0.0701388888888888,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,N,unknown,insufficient_evidence,0.2,1.1309590933323022,5.401330077531592,0.06145547198355977,0.0,0.0,0.0,0.0,0.2
EVENT_00000307,26.78709,94.66994,873ced765ffffff,2022-01-01 20:06:00,2022,1,1,5,1,0.4999999999999999,0.8660254037844387,299.74,282.2,0.59,1,0.4,0.6,0.4637340162321401,17.54000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,1,2,N,unknown,insufficient_evidence,0.2,1.0621544965905227,2.458323090320457,0.03014056426755242,0.0,0.0,0.0,0.0,0.2
