hotspot_id,latitude,longitude,h3_cell,timestamp,year,month,day_of_year,day_of_week,hour,minute,is_night,hour_sin,hour_cos,month_sin,month_cos,bright_ti4,bright_ti5,frp,confidence_encoded,scan,track,log_frp,thermal_difference,observation_count_7d,observation_count_30d,observation_count_90d,active_days_7d,active_days_30d,active_days_90d,mean_frp_7d,mean_frp_30d,mean_frp_90d,median_frp_30d,std_frp_30d,max_frp_30d,max_frp_90d,days_since_first_seen,days_since_previous_detection,has_history_7d,has_history_30d,has_history_90d,frp_deviation,frp_ratio_to_baseline,frp_z_score,industrial_context_score,mining_context_score,industrial_polygon_overlap,mining_polygon_overlap,forest_polygon_overlap,agriculture_polygon_overlap,distance_to_seed_facility_m,nearest_facility_type_encoded,type,daynight,target_class,label_source,label_confidence
EVENT_00280952,21.38895,81.64503,873cb1c01ffffff,2022-04-11 20:35:00,2022,4,101,0,20,35,1,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,309.94,297.49,1.93,1,0.41,0.45,1.0750024230289759,12.449999999999989,15.0,42.0,192.0,7.0,23.0,78.0,2.712,2.276190476190476,1.5999479166666666,2.2350000000000003,0.7439212464109886,5.37,5.37,100.01875,0.0,1,1,1,-0.34619047619047616,0.847907949790795,-0.46535903882387425,0.0,0.0,False,False,False,False,,1,2,N,non_industrial_thermal_activity,FIRMS_type2_without_industrial_evidence,0.4
EVENT_00716528,22.97345,85.9523,873caaa69ffffff,2023-02-27 07:28:00,2023,2,58,0,7,28,0,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,334.41,307.84,1.89,0,0.39,0.36,1.0612565021243408,26.57000000000005,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0,0,0,,,,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_00000815,23.55893,87.24078,873ca9656ffffff,2022-01-02 07:21:00,2022,1,2,6,7,21,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,338.79,299.34,3.3,1,0.38,0.36,1.4586150226995167,39.450000000000045,5.0,5.0,5.0,1.0,1.0,1.0,3.146,3.146,3.146,1.94,3.1244685948173645,9.36,9.36,0.9868055555555556,0.46805555555555556,1,1,1,0.15399999999999991,1.048951048951049,0.049288381472434584,0.0,0.0,False,False,False,False,,1,2,D,unknown_ambiguous,insufficient_evidence,0.2
EVENT_00284032,22.97906,76.83718,873d9065effffff,2022-04-12 20:16:00,2022,4,102,1,20,16,1,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,308.65,293.69,1.34,1,0.51,0.41,0.8501509293696101,14.95999999999998,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0,0,0,,,,0.0,0.0,False,False,False,False,,1,0,N,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_01039474,23.77589,86.38634,873ca9cb3ffffff,2023-05-29 19:50:00,2023,5,149,0,19,50,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,-0.8660254037844387,315.43,295.19,1.38,1,0.39,0.37,0.8671004876833833,20.24000000000001,24.0,105.0,366.0,6.0,23.0,75.0,2.7870833333333334,2.6646666666666667,2.4696448087431695,2.375,1.417753465482941,8.77,8.77,512.9881944444444,0.0,1,1,1,-1.2846666666666668,0.5178884163122341,-0.9061283911085771,0.25,0.6,False,True,False,False,,0,2,N,non_industrial_thermal_activity,FIRMS_type2+OSM_mining_context,0.8
EVENT_00580593,23.69241,87.11845,873ca9754ffffff,2022-12-13 20:20:00,2022,12,347,1,20,20,1,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,298.66,288.32,2.01,1,0.51,0.49,1.1019400787607843,10.340000000000032,22.0,106.0,243.0,6.0,29.0,71.0,1.8427272727272728,1.673490566037736,1.8657201646090535,1.57,0.574027549225201,3.54,6.14,346.00902777777776,0.0,1,1,1,0.33650943396226385,1.2010823608997123,0.586225233294936,0.0,0.0,False,False,False,False,,1,2,N,non_industrial_thermal_activity,FIRMS_type2_without_industrial_evidence,0.4
EVENT_00522390,19.93534,73.71143,876099b5affffff,2022-11-10 20:41:00,2022,11,314,3,20,41,1,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,312.58,290.14,1.13,1,0.38,0.36,0.7561219797213337,22.439999999999998,3.0,3.0,4.0,1.0,1.0,2.0,1.7233333333333334,1.7233333333333334,1.4275,1.38,0.48554665641476213,2.41,2.41,304.00069444444443,0.0,1,1,1,-0.5933333333333335,0.6557059961315279,-1.221990359720443,0.0,0.0,False,False,False,False,,1,2,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_01071873,16.48392,82.08663,87619e542ffffff,2023-09-27 20:24:00,2023,9,270,2,20,24,1,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,315.31,293.04,4.28,1,0.52,0.42,1.6639260977181702,22.269999999999982,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,628.01875,207.01388888888889,0,0,0,,,,0.0,0.0,False,False,False,False,,1,3,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_00855782,22.98694,78.55247,873d9e0ccffffff,2023-04-04 20:22:00,2023,4,94,1,20,22,1,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,315.46,289.07,1.42,1,0.39,0.36,0.883767540168595,26.389999999999986,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,366.0263888888889,0.0,0,0,0,,,,0.0,0.0,False,False,False,False,,1,0,N,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_01174950,21.89562,81.58768,873cb5291ffffff,2023-12-16 07:53:00,2023,12,350,5,7,53,0,0.9659258262890683,-0.25881904510252063,-2.4492935982947064e-16,1.0,334.32,302.39,3.06,1,0.42,0.38,1.4011829736136414,31.930000000000007,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0,0,0,,,,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_01649030,15.1803,77.10358,8760a198effffff,2024-08-26 20:35:00,2024,8,239,0,20,35,1,-0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,308.58,290.28,1.13,1,0.44,0.38,0.7561219797213337,18.30000000000001,0.0,1.0,2.0,0.0,1.0,2.0,,1.23,1.085,1.23,0.0,1.23,1.23,968.0173611111111,21.004166666666666,0,1,1,-0.10000000000000009,0.9186991869918698,,0.0,0.0,False,False,False,False,,1,2,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_00712872,22.22492,84.75735,873c85356ffffff,2023-02-26 20:15:00,2023,2,57,6,20,15,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,300.22,288.42,1.37,1,0.49,0.4,0.8628899551470398,11.800000000000011,10.0,59.0,112.0,6.0,26.0,56.0,1.504,1.2089830508474575,1.2321428571428572,1.1,0.5186086173771234,2.52,2.52,420.0180555555556,0.9868055555555556,1,1,1,0.1610169491525426,1.1331837936352167,0.3104787382186012,0.0,0.0,False,False,False,False,,1,2,N,non_industrial_thermal_activity,FIRMS_type2_without_industrial_evidence,0.4
EVENT_01658540,23.68001,86.38556,873ca8261ffffff,2024-10-12 19:10:00,2024,10,286,5,19,10,1,-0.9659258262890684,0.2588190451025203,-0.8660254037844386,0.5000000000000001,302.41,288.51,1.12,1,0.42,0.61,0.7514160886839212,13.900000000000034,12.0,26.0,50.0,6.0,16.0,32.0,2.9241666666666664,2.5503846153846155,2.3280000000000003,2.675,0.9552707259009422,5.02,5.82,1015.4791666666666,0.0,1,1,1,-1.4303846153846154,0.4391494495551199,-1.497360461910502,0.0,0.0,False,False,False,False,,1,3,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_01271064,18.68212,83.91571,873c91284ffffff,2024-02-29 07:46:00,2024,2,60,3,7,46,0,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,336.09,307.21,4.02,1,0.42,0.38,1.6134299337036377,28.879999999999995,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,675.0305555555556,675.0305555555556,0,0,0,,,,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_01103295,24.19364,82.57233,873ca5412ffffff,2023-11-01 21:05:00,2023,11,305,2,21,5,1,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384,297.37,286.98,1.22,1,0.64,0.72,0.7975071958841881,10.389999999999986,1.0,3.0,3.0,1.0,3.0,3.0,1.08,1.0,1.0,0.98,0.058878405775517624,1.08,1.08,668.0527777777778,1.0569444444444445,1,1,1,0.21999999999999997,1.22,3.7365142126772515,0.0,0.0,False,False,False,False,,1,2,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_00611276,22.4996,86.02808,873caa209ffffff,2023-01-06 07:03:00,2023,1,6,4,7,3,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,335.23,299.93,3.28,1,0.42,0.45,1.4539530095937052,35.30000000000001,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0,0,0,,,,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_00908748,24.0857,93.94454,873cc1a58ffffff,2023-04-14 06:26:00,2023,4,104,4,6,26,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,341.5,303.61,7.33,1,0.48,0.48,2.1198634561787513,37.889999999999986,2.0,2.0,2.0,1.0,1.0,1.0,1.095,1.095,1.095,1.095,0.19499999999999992,1.29,1.29,0.46805555555555556,0.0,1,1,1,6.235,6.69406392694064,31.97435897435899,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_00181278,21.59303,84.26823,873c854dbffffff,2022-03-27 07:47:00,2022,3,86,6,7,47,0,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,340.65,311.54,4.33,0,0.46,0.39,1.673351238177753,29.109999999999957,1.0,1.0,1.0,1.0,1.0,1.0,1.07,1.07,1.07,1.07,0.0,1.07,1.07,3.497916666666667,3.497916666666667,1,1,1,3.26,4.046728971962617,,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_00831675,24.37997,79.37223,873d9dcf3ffffff,2023-03-25 20:09:00,2023,3,84,5,20,9,1,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,302.63,290.43,1.1,1,0.47,0.4,0.7419373447293773,12.199999999999989,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,97.50625,97.50625,0,0,0,,,,0.0,0.0,False,False,False,False,,1,0,N,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_01705770,25.74316,76.54073,873d8695effffff,2024-11-18 08:30:00,2024,11,323,0,8,30,0,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,337.6,301.27,4.55,1,0.53,0.5,1.713797927758343,36.33000000000004,1.0,3.0,3.0,1.0,3.0,3.0,2.92,5.05,5.05,5.98,1.5101655538383874,6.25,6.25,748.0333333333333,3.0305555555555554,1,1,1,-0.5,0.900990099009901,-0.3310895277204212,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_01283018,18.52385,80.52856,8760b68eeffffff,2024-03-06 07:33:00,2024,3,66,2,7,33,0,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,336.59,311.01,5.56,0,0.53,0.42,1.8809906029559975,25.579999999999984,1.0,1.0,1.0,1.0,1.0,1.0,3.73,3.73,3.73,3.73,0.0,3.73,3.73,725.0041666666667,2.9604166666666667,1,1,1,1.8299999999999996,1.490616621983914,,0.0,0.0,False,False,False,False,,1,0,D,forest_vegetation_fire,FIRMS_type0_weak_proxy,0.45
EVENT_00087054,21.18463,81.38682,873cb0371ffffff,2022-03-11 20:16:00,2022,3,70,4,20,16,1,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,313.08,296.62,1.89,1,0.39,0.36,1.0612565021243408,16.45999999999998,13.0,36.0,91.0,6.0,19.0,44.0,2.772307692307692,2.1638888888888888,1.755824175824176,2.1,0.9580688846081589,5.7,5.7,69.52569444444444,0.0,1,1,1,-0.27388888888888885,0.8734274711168164,-0.28587598792638674,0.0,0.0,False,False,False,False,,1,3,N,unknown_ambiguous,insufficient_evidence,0.2
EVENT_00454694,18.863,72.9241,87608b114ffffff,2022-09-14 20:10:00,2022,9,257,2,20,10,1,-0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,298.25,266.04,1.9,1,0.32,0.55,1.0647107369924282,32.20999999999998,3.0,14.0,17.0,1.0,8.0,11.0,3.546666666666667,4.5200000000000005,4.193529411764706,4.0875,2.268256095392606,8.33,8.33,255.46458333333334,0.0,1,1,1,-2.6200000000000006,0.4203539823008849,-1.1550723947449648,0.0,0.0,False,False,False,False,,1,3,N,unknown_ambiguous,insufficient_evidence,0.2
