case_id,case_type,latitude,longitude,lat_bin,lon_bin,n,active_days,mean_frp,median_frp,max_frp,2022,2023,2024,base_monthly,cur_monthly,count_ratio,p95_ratio,spike_score,osm_elements_found,industrial_polygons_found,industrial_polygon_overlap,nearby_facilities_found,nearest_facility,nearest_facility_type,nearest_facility_latitude,nearest_facility_longitude,nearest_facility_distance_m,industrial_context_score,industrial_context_level,context_evidence,osm_source
CASE_11,spike,22.10955,83.11997,22.11,83.12,220.0,181.0,1.6845,1.505,7.08,0.0,48.0,172.0,6.857142857142857,17.2,2.4866529774127315,2.892561983471074,1.6973968733836826,1,0,False,1,Chhal Coal Mine,quarry_mining,22.0977281,83.1118726,1556.89,0.15,none,Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_12,spike,27.46038,95.47127,27.46,95.47,65.0,52.0,0.9493846153846154,0.78,4.02,7.0,0.0,58.0,3.5,8.285714285714286,2.3293650793650795,2.988431876606684,1.6639258548143565,0,0,False,0,,,,,,0.0,none,No strong industrial evidence found,OpenStreetMap via Overpass API
CASE_13,spike,22.98076,72.56829,22.98,72.57,76.0,71.0,1.2868421052631578,1.125,5.52,0.0,3.0,73.0,3.0,6.083333333333333,1.9946236559139785,3.403604587657017,1.6259495410262914,7,0,False,0,,,,,,0.0,none,No strong industrial evidence found,OpenStreetMap via Overpass API
CASE_14,spike,23.81019,84.84819,23.81,84.85,223.0,187.0,1.5255156950672646,1.11,7.73,49.0,63.0,111.0,5.090909090909091,10.090909090909092,1.9632224168126096,3.1486146095717884,1.5455276309105463,1,0,False,1,Tetariakhar Coal Mine,quarry_mining,23.8074676,84.8444327,487.59,0.35,low,Industrial facility within 750 m | Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_15,spike,24.13953,82.56152,24.14,82.56,39.0,32.0,1.577179487179487,1.27,5.2,4.0,14.0,21.0,4.5,10.5,2.3043478260869565,2.4956413449564137,1.4958619187512965,2,0,False,2,Block - B coal mine,quarry_mining,24.1619134,82.5663006,2535.74,0.15,none,Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_16,spike,20.75997,85.28995,20.76,85.29,371.0,272.0,1.6589757412398922,1.43,8.09,0.0,121.0,250.0,15.125,20.83333333333333,1.3749315818281336,3.707843137254901,1.3400352377459346,0,0,False,0,,,,,,0.0,none,No strong industrial evidence found,OpenStreetMap via Overpass API
CASE_17,vegetation_comparison,24.17025,82.67995,24.17,82.68,439.0,238.0,2.1148291571753988,,,,,,,,,,,2,0,False,2,Dudhichua Mine,quarry_mining,24.1516215,82.68892,2262.49,0.15,none,Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_18,vegetation_comparison,21.27019,79.17988,21.27,79.18,385.0,236.0,2.9744675324675325,,,,,,,,,,,1,0,False,1,Gondegaon-Ghatrohana Coal Mine,quarry_mining,21.2621906,79.1895711,1341.51,0.25,low,Industrial facility within 1.5 km | Specific industrial facility type identified,OpenStreetMap via Overpass API
CASE_19,vegetation_comparison,27.31923,95.26955,27.32,95.27,252.0,163.0,2.5131746031746034,,,,,,,,,,,0,0,False,0,,,,,,0.0,none,No strong industrial evidence found,OpenStreetMap via Overpass API
CASE_20,vegetation_comparison,20.84061,86.96017,20.84,86.96,230.0,118.0,3.656434782608696,,,,,,,,,,,1,0,False,0,,,,,,0.0,none,No strong industrial evidence found,OpenStreetMap via Overpass API
